id,nome,email,telefone,cep,data_nascimento,genero
1,Alice Pereira Santos,alice.santos@hotmail.com,(11) 95012-4657,08190-461,1967-07-09,F
2,Nicolas Alves Teixeira,nicolas.teixeira@gmail.com,(11) 97912-1520,01310-919,1957-09-03,M
3,Juliana Carvalho Almeida,juliana.almeida@uol.com.br,(11) 91434-4257,01310-928,2003-11-21,F
4,Diego Almeida Mendes,diego.mendes@uol.com.br,(11) 95557-1106,01311-200,1969-04-28,M
5,Manuela Machado Dias,manuela.dias@hotmail.com,(11) 93547-4527,01310-911,1985-03-13,F
6,Pedro Ferreira Moreira,pedro.moreira@gmail.com,(11) 96881-6635,01310-946,1978-09-24,M
7,Francisca Freitas Teixeira,francisca.teixeira@gmail.com,(11) 97201-2291,01311-927,2004-07-11,F
8,Guilherme Pinto Andrade,guilherme.andrade@uol.com.br,(11) 94150-2139,01311-911,1959-02-10,M
9,Sophia Almeida Vieira,sophia.vieira@gmail.com,(11) 94814-2654,01310-929,1989-02-06,F
10,Rodrigo Freitas Andrade,rodrigo.andrade@outlook.com,(11) 97065-6820,01310-923,1973-10-18,M
11,Sophia Fernandes Rodrigues,sophia.rodrigues@uol.com.br,(11) 93803-9751,01311-914,1976-12-17,F
12,Gabriel Freitas Moreira,gabriel.moreira@hotmail.com,(11) 94598-6313,01311-923,1960-01-07,M
13,Letícia Oliveira Rocha,leticia.rocha@yahoo.com.br,(11) 95386-2084,01311-932,1973-12-05,F
14,Igor Rocha Carvalho,igor.carvalho@yahoo.com.br,(11) 97482-8517,01311-100,1967-10-26,M
15,Luciana Lima Lopes,luciana.lopes@uol.com.br,(11) 99830-5304,01311-913,1993-06-08,F
16,Hugo Nunes Andrade,hugo.andrade@outlook.com,(11) 93266-9348,01311-902,1999-04-11,M
17,Juliana Souza Pereira,juliana.pereira@outlook.com,(11) 93621-7916,01310-933,1960-09-12,F
18,Gustavo Moreira Castro,gustavo.castro@yahoo.com.br,(11) 99669-5119,01311-922,2004-08-19,M
19,Maria Pereira Teixeira,maria.teixeira@hotmail.com,(11) 96573-2827,01311-912,1981-05-01,F
20,Vitor Costa Freitas,vitor.freitas@gmail.com,(11) 95315-9201,05440-001,1971-01-11,M
21,Simone Alves Barbosa,simone.barbosa@uol.com.br,(11) 94258-3504,01311-916,1988-07-18,F
22,Breno Costa Teixeira,breno.teixeira@uol.com.br,(11) 91009-6310,01311-000,1998-11-01,M
23,Ana Pereira Andrade,ana.andrade@hotmail.com,(11) 94923-1949,01310-916,1976-08-10,F
24,Igor Ferreira Ramos,igor.ramos@gmail.com,(11) 99727-3060,01310-910,1966-07-09,M
25,Sophia Cardoso Araújo,sophia.araujo@outlook.com,(11) 95342-9645,01311-928,1992-12-17,F
26,Marcelo Teixeira Martins,marcelo.martins@hotmail.com,(11) 97537-7118,01311-934,1994-04-21,M
27,Cláudia Mendes Pereira,claudia.pereira@outlook.com,(11) 94681-2049,01311-915,1985-05-01,F
28,João Moraes Araújo,joao.araujo@outlook.com,(11) 94608-1117,01311-904,1961-05-15,M
29,Valentina Souza Almeida,valentina.almeida@gmail.com,(11) 91514-6413,05440-000,1961-05-10,F
30,Vinícius Lopes Fernandes,vinicius.fernandes@yahoo.com.br,(11) 94510-9834,01310-935,1966-11-14,M
31,Lívia Cavalcanti Cardoso,livia.cardoso@outlook.com,(11) 98749-7669,01310-300,1972-01-31,F
32,Pedro Alves Machado,pedro.machado@hotmail.com,(11) 97939-7735,01311-901,1996-11-24,M
33,Lívia Souza Alves,livia.alves@gmail.com,(11) 97596-6559,01310-904,1964-10-20,F
34,Eduardo Martins Teixeira,eduardo.teixeira@yahoo.com.br,(11) 93296-7912,01311-905,1971-06-18,M
35,Vanessa Freitas Lopes,vanessa.lopes@gmail.com,(11) 98260-2604,01310-924,1959-07-16,F
36,Bernardo Teixeira Silva,bernardo.silva@gmail.com,(11) 94872-3724,01311-933,1991-06-18,M
37,Renata Cardoso Carvalho,renata.carvalho@yahoo.com.br,(11) 91960-3697,01310-917,1988-12-31,F
38,José Moreira Soares,jose.soares@yahoo.com.br,(11) 95673-7930,01310-931,2004-11-10,M
39,Sophia Ramos Gomes,sophia.gomes@outlook.com,(11) 95861-4566,01310-200,1960-03-31,F
40,Hugo Teixeira Souza,hugo.souza@hotmail.com,(11) 91936-1821,01311-941,1997-10-10,M
41,Simone Santana Costa,simone.costa@gmail.com,(11) 99320-2312,01310-900,1971-09-03,F
42,Carlos Castro Rodrigues,carlos.rodrigues@outlook.com,(11) 97615-2964,01311-926,1977-02-01,M
43,Yasmin Castro Oliveira,yasmin.oliveira@uol.com.br,(11) 92343-7868,01311-917,2005-09-16,F
44,Renan Rocha Soares,renan.soares@outlook.com,(11) 96147-4910,01310-902,1978-10-30,M
45,Isabela Lima Barbosa,isabela.barbosa@yahoo.com.br,(11) 96180-2188,01311-930,1955-11-02,F
46,Alex Pinto Cavalcanti,alex.cavalcanti@gmail.com,(11) 92200-9808,01310-918,1974-02-14,M
47,Simone Soares Lima,simone.lima@hotmail.com,(11) 92127-5002,01310-100,1988-02-25,F
48,Guilherme Costa Mendes,guilherme.mendes@uol.com.br,(11) 95956-9666,01310-907,1955-09-14,M
49,Sophia Araújo Barbosa,sophia.barbosa@gmail.com,(11) 93200-5333,01311-903,1965-05-10,F
50,Pedro Araújo Gomes,pedro.gomes@hotmail.com,(11) 95616-4450,01311-936,1985-10-05,M
51,Jéssica Soares Gonçalves,jessica.goncalves@yahoo.com.br,(21) 95114-1832,22050-903,1963-04-13,F
52,Heitor Machado Fernandes,heitor.fernandes@gmail.com,(21) 91058-6464,22020-001,1966-09-26,M
53,Alice Soares Costa,alice.costa@yahoo.com.br,(21) 98007-1158,22060-900,1965-01-13,F
54,Carlos Gomes Teixeira,carlos.teixeira@gmail.com,(21) 97049-3426,22050-902,1993-07-23,M
55,Patrícia Oliveira Barbosa,patricia.barbosa@hotmail.com,(21) 91653-6862,22070-012,1973-11-05,F
56,Lorenzo Lopes Alves,lorenzo.alves@hotmail.com,(21) 97658-3532,22070-011,1976-03-28,M
57,Camila Ribeiro Marques,camila.marques@gmail.com,(21) 93938-6442,22010-122,1991-12-09,F
58,Davi Lopes Fernandes,davi.fernandes@outlook.com,(21) 92771-7267,22060-002,1958-06-22,M
59,Tatiane Almeida Martins,tatiane.martins@yahoo.com.br,(21) 96728-6000,22010-121,1975-06-02,F
60,Bruno Santos Martins,bruno.martins@yahoo.com.br,(21) 96378-5564,22060-001,1961-03-24,M
61,Lara Fernandes Nascimento,lara.nascimento@uol.com.br,(21) 97548-9785,22020-959,1984-09-16,F
62,João Pereira Soares,joao.soares@outlook.com,(21) 95349-1626,22050-002,1964-09-22,M
63,Bianca Machado Nascimento,bianca.nascimento@hotmail.com,(21) 98149-9379,22050-901,1965-05-17,F
64,Gustavo Cavalcanti Martins,gustavo.martins@hotmail.com,(21) 91727-8144,22050-001,1955-02-25,M
65,Cláudia Teixeira Martins,claudia.martins@hotmail.com,(21) 98066-2146,22020-970,1984-08-15,F
66,Arthur Rocha Pereira,arthur.pereira@hotmail.com,(21) 99308-6067,22031-000,1991-08-22,M
67,Larissa Nunes Vieira,larissa.vieira@uol.com.br,(21) 93085-4143,22050-900,1992-09-20,F
68,Davi Moreira Ribeiro,davi.ribeiro@uol.com.br,(21) 95930-7653,22020-002,2004-02-27,M
69,Maria Barbosa Vieira,maria.vieira@outlook.com,(31) 98043-6279,30180-908,1996-09-18,F
70,Samuel Mendes Carvalho,samuel.carvalho@uol.com.br,(31) 98752-3780,30431-025,1962-08-10,M
71,Mariana Gonçalves Pinto,mariana.pinto@hotmail.com,(31) 92530-4848,30421-026,1982-11-06,F
72,Bruno Martins Gomes,bruno.gomes@gmail.com,(31) 91757-5011,30180-904,1997-08-17,M
73,Helena Rodrigues Freitas,helena.freitas@yahoo.com.br,(31) 94185-7291,30180-007,1999-05-09,F
74,Thiago Lopes Gomes,thiago.gomes@gmail.com,(31) 92746-7965,30441-001,1974-08-19,M
75,Amanda Santana Freitas,amanda.freitas@gmail.com,(31) 95082-2988,30180-903,1995-12-14,F
76,Luiz Freitas Santana,luiz.santana@uol.com.br,(31) 96198-8251,30180-009,2000-04-14,M
77,Rebeca Araújo Mendes,rebeca.mendes@outlook.com,(31) 98777-8373,30510-900,1978-04-03,F
78,Breno Lopes Fernandes,breno.fernandes@uol.com.br,(31) 98939-4919,30180-902,1979-08-21,M
79,Carolina Rodrigues Vieira,carolina.vieira@outlook.com,(31) 95451-6502,30180-002,1983-09-07,F
80,Ricardo Ferreira Lima,ricardo.lima@outlook.com,(31) 94788-7275,30510-000,1968-09-16,M
81,Valentina Carvalho Rodrigues,valentina.rodrigues@yahoo.com.br,(31) 97678-6421,30180-001,2003-09-06,F
82,Alex Marques Souza,alex.souza@outlook.com,(31) 97883-7381,30411-250,1956-10-02,M
83,Clara Cavalcanti Moreira,clara.moreira@yahoo.com.br,(31) 91096-6763,30180-006,1981-10-15,F
84,Breno Moreira Marques,breno.marques@uol.com.br,(31) 99947-4613,30180-000,1998-10-20,M
85,Letícia Fernandes Machado,leticia.machado@yahoo.com.br,(31) 91475-7371,30411-220,1985-02-26,F
86,Davi Nunes Costa,davi.costa@yahoo.com.br,(31) 93091-9751,30180-005,1957-06-02,M
87,Isabela Moraes Cavalcanti,isabela.cavalcanti@gmail.com,(31) 92375-8022,30520-000,1967-03-05,F
88,Alex Ribeiro Souza,alex.souza@hotmail.com,(31) 97211-6363,30411-186,1973-12-27,M
89,Daniela Rocha Dias,daniela.dias@yahoo.com.br,(31) 95558-7906,30180-901,1977-08-19,F
90,Paulo Cardoso Santos,paulo.santos@uol.com.br,(31) 91853-6733,30431-061,1975-02-12,M
91,Lorena Rodrigues Oliveira,lorena.oliveira@gmail.com,(31) 95051-4266,30421-970,1956-10-29,F
92,Arthur Gomes Lopes,arthur.lopes@outlook.com,(31) 98758-2874,30180-906,2005-08-06,M
93,Jéssica Freitas Soares,jessica.soares@hotmail.com,(31) 93749-2876,30180-010,1969-09-10,F
94,Matheus Alves Moraes,matheus.moraes@gmail.com,(31) 96111-7149,30421-169,1990-08-02,M
95,Valentina Martins Rodrigues,valentina.rodrigues@uol.com.br,(31) 94978-2669,30180-905,1982-01-21,F
96,Lorenzo Castro Pereira,lorenzo.pereira@uol.com.br,(31) 91672-6688,30180-012,2002-10-17,M
97,Rebeca Andrade Rodrigues,rebeca.rodrigues@uol.com.br,(31) 96590-1207,30421-067,1992-09-07,F
98,Murilo Alves Machado,murilo.machado@hotmail.com,(31) 98532-3506,30180-907,1994-01-26,M
99,Amanda Santana Fernandes,amanda.fernandes@uol.com.br,(31) 99817-8921,30180-003,1996-09-14,F
100,Vitor Moraes Fernandes,vitor.fernandes@hotmail.com,(31) 95022-2419,30421-056,1980-01-09,M
